city,title,category,level,exp_years,year
Cairo,Remedy Developers,Software Engneering,Entry Level,0,2014
New Cairo,Graphics Designer,Software Engneering,Entry Level,1,2014
Cairo,Java Developer,Software Engneering,Experienced,4,2014
Cairo,Business Intelligence Engineer,Software Engneering,Experienced,5,2014
Giza,Senior Ruby on Rails Developer,Software Engneering,Experienced,2,2014
Cairo,"Software Engineer ""Speech Recognition""",Software Engneering,Experienced,5,2014
New Cairo,Software Engineer,Software Engneering,Experienced,0,2014
El Monofeya,Software Developer,Software Engneering,Entry Level,1,2014
Shebin ElKoum,Senior Software Developer,Software Engneering,Experienced,3,2014
Cairo,.Net SharePoint Developer,Software Engneering,Experienced,4,2014
Cairo,.NET MVC developer,Software Engneering,Experienced,2,2014
Cairo,PHP Developer ,Software Engneering,Experienced,3,2014
Cairo,Mobile Application Developer,Software Engneering,Experienced,3,2014
Cairo,Senior business analyst ,Software Engneering,Experienced,7,2014
Cairo,.Net Developer,Software Engneering,Experienced,8,2014
Cairo,Software Test Engineer,Software Engneering,Experienced,3,2014
Cairo,Senior UI Developer,Software Engneering,Experienced,6,2014
Giza,PHP Web Developer,Software Engneering,Experienced,3,2014
Cairo,PHP Developer,Software Engneering,Experienced,2,2014
Cairo,Senior iOS Developer,Software Engneering,Experienced,2,2014
Cairo,Junior Java Developer ,Software Engneering,Entry Level,1,2014
Cairo,PHP Developer,Software Engneering,Entry Level,1,2014
Cairo,Android Developer,Software Engneering,Experienced,3,2014
Giza,PHP Web Developer ,Software Engneering,Experienced,5,2014
Cairo,Senior Business Analyst,Software Engneering,Experienced,5,2014
Cairo,Kinect Developer,Software Engneering,Experienced,3,2014
Cairo,System Engineer,Software Engneering,Entry Level,0,2014
Cairo,PHP Developer,Software Engneering,Experienced,3,2014
Cairo,Android & iOS Developers,Software Engneering,Experienced,0,2014
Mansoura,Web / UI Developer,Software Engneering,Experienced,2,2014
Cairo,PHP Developer,Software Engneering,Experienced,5,2014
Cairo,Senior Graphic & Web Designer,Software Engneering,Experienced,3,2014
Giza,.Net Developer,Software Engneering,Experienced,6,2014
Cairo,Technical Support Engineer,Software Engneering,Experienced,3,2014
Cairo,Java Engineer,Software Engneering,Experienced,5,2014
Cairo,Technical Software Engineer ''.Net'',Software Engneering,Experienced,2,2014
New Cairo,Database Administrator ,Software Engneering,Experienced,6,2014
Cairo,Senior iOS Developer,Software Engneering,Experienced,2,2014
Cairo,Software Developer,Software Engneering,Entry Level,0,2014
Cairo,Senior Oracle Developer,Software Engneering,Experienced,4,2014
Cairo,"Systems Engineer (Linux,Unix Background)  ",Software Engneering,Entry Level,0,2014
Alexandria,Technical Software Team Lead,Software Engneering,Experienced,5,2014
Cairo,Senior iOS Developer,Software Engneering,Experienced,4,2014
New Cairo,Web/UI Designer,Software Engneering,Experienced,3,2014
Alexandria,PHP Web Developer / Programmer,Software Engneering,Experienced,1,2014
Alexandria,PHPFox Developer,Software Engneering,Experienced,4,2014
Cairo,Web/UI Designer ,Software Engneering,Experienced,5,2014
Cairo,IT Manager for A Supermarket Chain ,IT Category,Manager,5,2014
Giza,Senior IT Officer ,IT Category,Manager,5,2014
Alexandria,Software/Web Developer,Software Engneering,Experienced,5,2014
Cairo,Front-End Developer,Software Engneering,Experienced,1,2014
Giza,Senior PHP Developer,Software Engneering,Experienced,4,2014
Cairo,Senior Linux Admin,Software Engneering,Experienced,5,2014
Giza,E-Learning Administrator ,Software Engneering,Experienced,3,2014
Giza,E-Learning Administrator ,Software Engneering,Experienced,3,2014
Cairo,Senior/Junior+ PHP developer ,Software Engneering,Experienced,7,2014
Cairo,Junior Application Consultant,Software Engneering,Entry Level,2,2014
Mansoura,Senior .Net Developer,Software Engneering,Experienced,4,2014
Cairo,Tester,Software Engneering,Entry Level,2,2014
menoufia,Software Developer,Software Engneering,Experienced,2,2014
Cairo,Junior PHP Developer,Software Engneering,Experienced,3,2014
Cairo,IOS Developer,Software Engneering,Experienced,4,2014
Cairo,PHP Developer,Software Engneering,Experienced,5,2014
Cairo,Mobile Cross Platform Developer,Software Engneering,Experienced,2,2014
Cairo,Web Developer,Software Engneering,Experienced,3,2014
Cairo,SR. Network Engineer/ System Admin,Software Engneering,Manager,6,2014
