title,exp_years,city,level,category,year
Senior Software Engineer,3,Maadi,Experienced,Software Engneering,2021
Software Quality Engineer,3,Riyadh,Experienced,Software Engneering,2021
Senior Software Tester,2,Cairo,Experienced,Software Engneering,2021
Sales Representative ( Software Industry ),1,Maadi,Entry Level,Software Engneering,2021
Senior .NET Developer,4,Agouza,Experienced,Software Engneering,2021
Senior React js Developer-VOIS,3,Cairo,Experienced,Software Engneering,2021
IT Security Specialist,2,Heliopolis,Experienced,IT Category,2021
iOS Developer,6,Dokki,Experienced,Software Engneering,2021
Software Testing Team Leader,8,Dokki,Manager,Software Engneering,2021
Senior PHP Developer,3,6th Of October,Experienced,Software Engneering,2021
Software Tech Lead,3,Zamalek,Manager,Software Engneering,2021
Senior Full Stack Developer (Python/Django),4,New Cairo,Experienced,Software Engneering,2021
IT System Administrator,6,Dokki,Experienced,IT Category,2021
.Net Developer,1,Nasr City,Entry Level,Software Engneering,2021
Software Quality Control Engineer,3,6th Of October,Experienced,Software Engneering,2021
Senior Full Stack Ruby ON Rails Developer,3,Cairo,Experienced,Software Engneering,2021
Senior Java Spring Developer,4,New Cairo,Experienced,Software Engneering,2021
Software Tester,3,Heliopolis,Experienced,Software Engneering,2021
Sales Account Manager Software,5,Mohandessin,Manager,Software Engneering,2021
Flutter Developer,1,Sheikh Zayed,Entry Level,Software Engneering,2021
IT Quality Assurance Engineer,5,New Cairo,Experienced,IT Category,2021
Technical Software Architect,5,Cairo,Experienced,Software Engneering,2021
Software Quality Team Leader - Cairo,6,Maadi,Manager,Software Engneering,2021
Sr Software Engineer (.Net),1,Maadi,Entry Level,Software Engneering,2021
Web Developer,1,Maadi,Entry Level,Software Engneering,2021
Senior Quality Assurance - Automation...,3,Nasr City,Experienced,Software Engneering,2021
Senior Oracle Apss Developer,1,Quweisna,Entry Level,Software Engneering,2021
Java Developer,1,Nasr City,Entry Level,Software Engneering,2021
Senior ASP.Net Developer,3,Nasr City,Experienced,Software Engneering,2021
Flutter Mobile Developer,2,New Cairo,Experienced,Software Engneering,2021
PHP Laravel (Full Stack Developer),2,New Cairo,Experienced,Software Engneering,2021
Senior IT Sales Executive,3,Maadi,Experienced,IT Category,2021
IT Devops Systems Engineer,0,Sheraton,Entry Level,IT Category,2021
Senior Front End Developer,5,Dokki,Experienced,Software Engneering,2021
Senior Front End Developer,5,Dokki,Experienced,Software Engneering,2021
IT Specialist,2,Sheraton,Experienced,IT Category,2021
Backend Software Engineer,3,Cairo,Experienced,Software Engneering,2021
IT Recruiter,3,Cairo,Experienced,IT Category,2021
Dot Net Full Stack Developer,1,New Cairo,Entry Level,Software Engneering,2021
Senior IT System Admin,3,Cairo,Experienced,IT Category,2021
Node.js Backend Developer Remotely,3,Cairo,Experienced,Software Engneering,2021
Senior Java Developer,3,Agouza,Experienced,Software Engneering,2021
Technical Support (Software),1,Nasr City,Entry Level,Software Engneering,2021
Senior Java Developer,4,Nasr City,Experienced,Software Engneering,2021
Business Development (Sr.) Manager,8,New Cairo,Manager,Software Engneering,2021
