title,company_name,location,exp_years,city,level,time,category,year
Senior .Net Core Developer,Obeikan Digital Solutions,"New Cairo, Cairo",4,New Cairo,Experienced,Full Time,Software Engneering,2020
.Net Core Developer,Obeikan Digital Solutions,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time,Software Engneering,2020
Full Stack Developer,Unknown,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Android Developer,SURE International Technology,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2020
Senior .Net Developer,Paxerahealth Corp,"6th Of October, Giza",5,6th Of October,Manager,Full Time,Software Engneering,2020
Junior Back End Developer,AlgorithmZ –Tooli,"Nasr City, Cairo",1,Nasr City,Entry Level,Full Time,Software Engneering,2020
Senior PHP Developer,Charisma Design,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
Front End Developer,AL-Matar,"Alexandria, Egypt",3,Alexandria,Experienced,Full Time,Software Engneering,2020
Junior .NET Developer / Alexandria,Unknown,"Smouha, Alexandria",1,Smouha,Entry Level,Full Time,Software Engneering,2020
Senior (SQA) Software Quality Assurance Engineer,NAOS Marketing,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2020
Mid Back End Developer,Schoolver,"Hadayek Alahram, Giza",2,Hadayek Alahram,Experienced,Full Time,Software Engneering,2020
Senior Python Developer,Crevisoft Corporation,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2020
Back End Developer,AL-Matar,"Alexandria, Egypt",3,Alexandria,Experienced,Full Time,Software Engneering,2020
Ruby On Rails Developer,Pharous LLC,"Alexandria, Egypt",3,Alexandria,Experienced,Full Time,Software Engneering,2020
Senior Full Stack JavaScript Developer,Beyond Solution,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Java Backend Developer (Spring/ADF),Ithmaar Integrated Solutions,"Haram, Giza",2,Haram,Experienced,Full Time,Software Engneering,2020
.NET Developer (Desktop Application),Unknown,"Manial, Cairo",2,Manial,Experienced,Full Time,Software Engneering,2020
Java Developer,Egabi FSI,"Sheraton, Cairo",2,Sheraton,Experienced,Full Time,Software Engneering,2020
Front End Wordpress Developer,MK Team Solutions,"Nasr City, Cairo",1,Nasr City,Entry Level,Full Time,Software Engneering,2020
IT Retail Specialist,Elabd Foods,"Mohandessin, Giza",2,Mohandessin,Experienced,Full Time,IT Category,2020
NativeScript Mobile Developer,Zeal Rewards,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time,Software Engneering,2020
Junior Mean Stack Developer (Nodejs),EasyKash,"Dokki, Giza",1,Dokki,Entry Level,Full Time,Software Engneering,2020
Senior Software Quality Control Engineer,AlQemam For Programming,"Mansoura, Dakahlia",3,Mansoura,Experienced,Full Time,Software Engneering,2020
Senior PHP Web Developer,Arabia for Information Technology,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Full stack Developer (.NET & Angular),El-Taef,"Giza, Egypt",3,Giza,Experienced,Full Time,Software Engneering,2020
Senior iOS Developer,Odiggo,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2020
Business Development Manager,INMA Construction,"New Cairo, Cairo",5,New Cairo,Manager,Full Time,Software Engneering,2020
Senior Full Stack Developer,Barcode _Sa,"Mohandessin, Giza",3,Mohandessin,Experienced,Full Time,Software Engneering,2020
Junior Java Back End Developer,Elnady Engineering & Agencies,"Nasr City, Cairo",0,Nasr City,Entry Level,Full Time,Software Engneering,2020
Full Stack Web Developer - Cairo,Unknown,"New Cairo, Cairo",5,New Cairo,Experienced,Full Time,Software Engneering,2020
Senior React Front-End Developer,Your Parts,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Senior Full Stack Developer,Unknown,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2020
Backend Developer,JOE13,"Alexandria, Egypt",3,Alexandria,Experienced,Full Time,Software Engneering,2020
Senior PHP Developer,Korashi Group,"Sheikh Zayed, Giza",8,Sheikh Zayed,Experienced,Full Time,Software Engneering,2020
Senior .Net Developer,PL-KSA,"Sheraton, Cairo",4,Sheraton,Experienced,Full Time,Software Engneering,2020
Senior Backend (Laravel-PHP) Developer,Unknown,"Alexandria, Egypt",4,Alexandria,Experienced,Full Time,Software Engneering,2020
Flutter Mobile Apps Developer - Cairo,Unknown,"Heliopolis, Cairo",1,Heliopolis,Entry Level,Full Time,Software Engneering,2020
Senior Backend Developer,CyberTalents,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
