title,company_name,exp_years,location,city,level,time,category,year
Accounting Associate,The Hair Addict,3,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Payable Senior Accountant,Nile Air,5,"Sheraton, Cairo",Sheraton,Experienced,Full Time,Software Engneering,2020
Senior Research Scientist,360Imaging,3,"Dokki, Giza",Dokki,Experienced,Full Time,Software Engneering,2020
Business Analyst - Saudi Arabia,Leader,4,"Riyadh, Saudi Arabia",Riyadh,Experienced,Full Time,Software Engneering,2020
HR Manager - Giza,Sun Lighting Company,8,"6th Of October, Giza",6th Of October,Manager,Full Time,Software Engneering,2020
Junior UI/UX Designer,Yodawy,0,"Mohandessin, Giza",Mohandessin,Entry Level,Full Time,Software Engneering,2020
Export Coordinator,Marmonil Marble & Granite,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Senior Graphic Designer,JOE13,4,"Alexandria, Egypt",Alexandria,Experienced,Full Time,Software Engneering,2020
Sales Panel Engineer,AL-TAWAKOL For Electrical Industries -NTT,5,"Azbakia, Cairo",Azbakia,Experienced,Full Time,Software Engneering,2020
Web Graphic Designer,Dimofinf Operations Center,4,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Sales Team Leader - Real Estate Brokerage,Kimit Real Estate,3,"New Cairo, Cairo",New Cairo,Manager,Full Time,Software Engneering,2020
Product Manager,Unknown,2,"Abu Qir, Alexandria",Abu Qir,Manager,Full Time,Software Engneering,2020
Showroom Sales Representative,Egyptian Tabletop Trading Company,0,"Giza, Egypt",Giza,Entry Level,Full Time,Software Engneering,2020
Senior Sales Engineer,Marmonil Marble & Granite,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Business Analyst,Unknown,5,"Cairo, Egypt",Cairo,Experienced,Full Time And Part Time,Software Engneering,2020
Area Sales Executive - Cairo,GLC,1,"Cairo, Egypt",Cairo,Entry Level,Full Time,Software Engneering,2020
Oracle Human Capital Management (HCM)...,Megamind IT Solutions,5,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
Project Manager,Source Technology,5,"Heliopolis, Cairo",Heliopolis,Manager,Full Time,Software Engneering,2020
CNC Programming Engineer,AACMI,10,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Executive Secretary,Serious construction,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
Senior Architect (Work from Home),Virtual Worker Now,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Chief Operation Officer,The First Microfinance,8,"Maadi, Cairo",Maadi,Manager,Full Time,Software Engneering,2020
Odoo Implementation Consultant ( Part Time ),YDS yasar digital services,3,"Sheikh Zayed, Giza",Sheikh Zayed,Experienced,Full Time And Part Time,Software Engneering,2020
Senior Graphic Designer,Eksab,3,"Downtown, Cairo",Downtown,Experienced,Full Time,Software Engneering,2020
Technical Artist,VRapeutic,2,"Abdeen, Cairo",Abdeen,Experienced,Full Time,Software Engneering,2020
Architect (Work from Home),Virtual Worker Now,3,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Interior Designer-Gharbia,Town Team,2,"Gharbia, Egypt",Gharbia,Experienced,Full Time,Software Engneering,2020
"Risk,Compliance & Governance Manager",The First Microfinance,7,"Maadi, Cairo",Maadi,Manager,Full Time,Software Engneering,2020
Copywriter,Joovlly,2,"Mohandessin, Giza",Mohandessin,Experienced,Full Time,Software Engneering,2020
Pre Sales Engineer,Smart Lighting,1,"Sheraton, Cairo",Sheraton,Entry Level,Full Time,Software Engneering,2020
Marketing Manager,SYE English Community,5,"Dokki, Giza",Dokki,Manager,Full Time,Software Engneering,2020
Internal Audit,Neisco for Modern Water Systems Production,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Sales Executive,Unknown,1,"Nasr City, Cairo",Nasr City,Entry Level,Full Time,Software Engneering,2020
Game Designer,Unknown,4,"Mokattam, Cairo",Mokattam,Experienced,Full Time,Software Engneering,2020
Area Sales Executive - Giza,GLC,1,"Giza, Egypt",Giza,Entry Level,Full Time,Software Engneering,2020
Business Analyst,AHCC,1,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Area Sales Executive - Alexandria,GLC,1,"Alexandria, Egypt",Alexandria,Entry Level,Full Time,Software Engneering,2020
Social Media Specialist,Ebtkar,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Logistics Specialist,TMA For Industrial Supplies,2,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Account Manager for E-Commerce - New Cairo,ArabDT,1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
