job_title✫company_names✫company_locations✫job_description
Senior Software Developer (Focusing on .NET)✫TMentors✫- Maadi, Cairo✫Full Time · Experienced · 2-5 Yrs of Exp · .Net Core · .Net · Information Technology (IT) · Software Development · Computer Science · .NET · Software Engineering · Node.js · javaScript · English - July 10, 2021
Senior Full Stack Software Developer (Focusing...✫TMentors✫- Maadi, Cairo✫Full Time · Experienced · 3-5 Yrs of Exp · Information Technology (IT) · Computer Science · javaScript · CSS3 · HTML5 · BackboneJs · AJAX · REST · JSON · Node.js · Redux · React · Front End - July 10, 2021
Backend Software Developer✫Genify.ai✫- New Cairo, Cairo✫Full Time · Work From Home · Experienced · 2-5 Yrs of Exp · Software Development · Computer Science · Software Engineering · Software · Git · REST · Python · Engineering · Flask · AWS · Docker - July 27, 2021
Software Business Development Representative...✫FlairsTech✫- Maadi, Cairo✫Full Time · Shift Based · Entry Level · 1-3 Yrs of Exp · Sales Skills · Sales · Business Development · B2B Sales · Communication Skills · English · Sales Target · Communication · APAC · EMEA - July 27, 2021
Senior Embedded Software Engineer✫PaySky✫- New Cairo, Cairo✫Full Time · Experienced · 5+ Yrs of Exp · C/C++ · ASP.NET · C# · Information Technology (IT) · Computer Science · PCI · Software Development · Software Engineering · Embedded Systems · Design - June 13, 2021
Software Developer - Front-End (React)✫Penta-b✫- Nasr City, Cairo✫Full Time · Entry Level · 1-2 Yrs of Exp · Computer Science · Software Development · React · Java · Ionic · Agile · HTML · CSS · Software · Information Technology (IT) · javaScript - June 14, 2021
Senior Software Testing Engineer✫Kashat✫- Agouza, Giza✫Full Time · Experienced · 4+ Yrs of Exp · Testing · Quality · Java · SQL · Selenium · Appium · Quality Control · Scrum · Automation · Manual Testing · Information Technology (IT) · English - August 1, 2021
Software Development Engineer (Machine Learning)✫Si-Ware Systems✫- Sheraton, Cairo✫Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Software Development · Software Engineering · Engineering · machine laerning · cloud · Information Technology (IT) · Computer Engineering - June 13, 2021
Senior Software Developer✫Perfect Presentation✫- 6th Of October, Giza✫Full Time · Experienced · 5+ Yrs of Exp · Software Development · javaScript · .NET · Agile · Angular · Software · Computer Science · Information Technology (IT) · Computer Engineering · SQL - June 24, 2021
Senior Quality Control Engineer (Software...✫PaySky✫- New Cairo, Cairo✫Full Time · Experienced · 5+ Yrs of Exp · Quality Control · Quality Assurance · Computer Science · Computer Engineering · Information Technology (IT) · Testing · Cross Browser Testing · Bugs - June 27, 2021
